# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.783000e+05	8.822131e+03	8.822131e+03
1.000000e-02	2.000000e-02	2.446400e+06	1.564097e+04	1.564097e+04
2.000000e-02	3.000000e-02	3.792200e+06	1.947357e+04	1.947357e+04
3.000000e-02	4.000000e-02	4.818600e+06	2.195131e+04	2.195131e+04
4.000000e-02	5.000000e-02	5.473800e+06	2.339615e+04	2.339615e+04
5.000000e-02	6.000000e-02	5.726700e+06	2.393052e+04	2.393052e+04
6.000000e-02	7.000000e-02	5.879600e+06	2.424789e+04	2.424789e+04
7.000000e-02	8.000000e-02	5.811200e+06	2.410643e+04	2.410643e+04
8.000000e-02	9.000000e-02	5.590200e+06	2.364360e+04	2.364360e+04
9.000000e-02	1.000000e-01	5.445400e+06	2.333538e+04	2.333538e+04
1.000000e-01	1.100000e-01	5.144600e+06	2.268171e+04	2.268171e+04
1.100000e-01	1.200000e-01	4.833300e+06	2.198477e+04	2.198477e+04
1.200000e-01	1.300000e-01	4.532800e+06	2.129037e+04	2.129037e+04
1.300000e-01	1.400000e-01	4.240800e+06	2.059320e+04	2.059320e+04
1.400000e-01	1.500000e-01	3.979400e+06	1.994843e+04	1.994843e+04
1.500000e-01	1.600000e-01	3.733800e+06	1.932304e+04	1.932304e+04
1.600000e-01	1.700000e-01	3.493900e+06	1.869198e+04	1.869198e+04
1.700000e-01	1.800000e-01	3.242400e+06	1.800667e+04	1.800667e+04
1.800000e-01	1.900000e-01	3.047700e+06	1.745766e+04	1.745766e+04
1.900000e-01	2.000000e-01	2.877500e+06	1.696320e+04	1.696320e+04
2.000000e-01	2.100000e-01	2.648600e+06	1.627452e+04	1.627452e+04
2.100000e-01	2.200000e-01	2.474400e+06	1.573023e+04	1.573023e+04
2.200000e-01	2.300000e-01	2.306600e+06	1.518749e+04	1.518749e+04
2.300000e-01	2.400000e-01	2.148000e+06	1.465606e+04	1.465606e+04
2.400000e-01	2.500000e-01	2.046000e+06	1.430385e+04	1.430385e+04
2.500000e-01	2.600000e-01	1.934500e+06	1.390863e+04	1.390863e+04
2.600000e-01	2.700000e-01	1.837200e+06	1.355434e+04	1.355434e+04
2.700000e-01	2.800000e-01	1.690200e+06	1.300077e+04	1.300077e+04
2.800000e-01	2.900000e-01	1.602000e+06	1.265701e+04	1.265701e+04
2.900000e-01	3.000000e-01	1.522100e+06	1.233734e+04	1.233734e+04
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	3.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	4.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

