# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.218645e+06	4.592736e+03	4.592736e+03
2.000000e-01	4.000000e-01	2.873650e+05	1.198676e+03	1.198676e+03
4.000000e-01	6.000000e-01	1.310600e+05	8.095060e+02	8.095060e+02
6.000000e-01	8.000000e-01	7.504500e+04	6.125561e+02	6.125561e+02
8.000000e-01	1.000000e+00	4.456000e+04	4.720169e+02	4.720169e+02
1.000000e+00	1.200000e+00	2.901500e+04	3.808871e+02	3.808871e+02
1.200000e+00	1.400000e+00	1.990000e+04	3.154362e+02	3.154362e+02
1.400000e+00	1.600000e+00	1.482500e+04	2.722591e+02	2.722591e+02
1.600000e+00	1.800000e+00	1.095000e+04	2.339872e+02	2.339872e+02
1.800000e+00	2.000000e+00	8.120000e+03	2.014944e+02	2.014944e+02
2.000000e+00	2.200000e+00	4.340000e+03	1.473092e+02	1.473092e+02
2.200000e+00	2.400000e+00	2.300000e+03	1.072381e+02	1.072381e+02
2.400000e+00	2.600000e+00	1.385000e+03	8.321658e+01	8.321658e+01
2.600000e+00	2.800000e+00	1.040000e+03	7.211103e+01	7.211103e+01
2.800000e+00	3.000000e+00	6.900000e+02	5.873670e+01	5.873670e+01
3.000000e+00	3.200000e+00	4.500000e+02	4.743416e+01	4.743416e+01
3.200000e+00	3.400000e+00	3.550000e+02	4.213075e+01	4.213075e+01
3.400000e+00	3.600000e+00	3.300000e+02	4.062019e+01	4.062019e+01
3.600000e+00	3.800000e+00	2.200000e+02	3.316625e+01	3.316625e+01
3.800000e+00	4.000000e+00	1.950000e+02	3.122499e+01	3.122499e+01
4.000000e+00	4.200000e+00	9.500000e+01	2.179449e+01	2.179449e+01
4.200000e+00	4.400000e+00	8.000000e+01	2.000000e+01	2.000000e+01
4.400000e+00	4.600000e+00	9.500000e+01	2.179449e+01	2.179449e+01
4.600000e+00	4.800000e+00	6.500000e+01	1.802776e+01	1.802776e+01
4.800000e+00	5.000000e+00	5.000000e+01	1.581139e+01	1.581139e+01
5.000000e+00	5.200000e+00	3.000000e+01	1.224745e+01	1.224745e+01
5.200000e+00	5.400000e+00	4.500000e+01	1.500000e+01	1.500000e+01
5.400000e+00	5.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
5.600000e+00	5.800000e+00	2.000000e+01	1.000000e+01	1.000000e+01
5.800000e+00	6.000000e+00	3.000000e+01	1.224745e+01	1.224745e+01
6.000000e+00	6.200000e+00	2.000000e+01	1.000000e+01	1.000000e+01
6.200000e+00	6.400000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.400000e+00	6.600000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.600000e+00	6.800000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.800000e+00	7.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

