# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_LightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_LightJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.786434e+07	9.451014e+03	9.451014e+03
2.000000e-01	4.000000e-01	1.095600e+05	7.401351e+02	7.401351e+02
4.000000e-01	6.000000e-01	9.576000e+04	6.919538e+02	6.919538e+02
6.000000e-01	8.000000e-01	7.404000e+04	6.084406e+02	6.084406e+02
8.000000e-01	1.000000e+00	4.314000e+04	4.644351e+02	4.644351e+02
1.000000e+00	1.200000e+00	2.960500e+04	3.847402e+02	3.847402e+02
1.200000e+00	1.400000e+00	2.173000e+04	3.296210e+02	3.296210e+02
1.400000e+00	1.600000e+00	1.663500e+04	2.884008e+02	2.884008e+02
1.600000e+00	1.800000e+00	1.277000e+04	2.526856e+02	2.526856e+02
1.800000e+00	2.000000e+00	9.905000e+03	2.225421e+02	2.225421e+02
2.000000e+00	2.200000e+00	6.370000e+03	1.784657e+02	1.784657e+02
2.200000e+00	2.400000e+00	3.315000e+03	1.287439e+02	1.287439e+02
2.400000e+00	2.600000e+00	2.445000e+03	1.105667e+02	1.105667e+02
2.600000e+00	2.800000e+00	1.625000e+03	9.013878e+01	9.013878e+01
2.800000e+00	3.000000e+00	1.225000e+03	7.826238e+01	7.826238e+01
3.000000e+00	3.200000e+00	1.010000e+03	7.106335e+01	7.106335e+01
3.200000e+00	3.400000e+00	8.900000e+02	6.670832e+01	6.670832e+01
3.400000e+00	3.600000e+00	6.000000e+02	5.477226e+01	5.477226e+01
3.600000e+00	3.800000e+00	5.550000e+02	5.267827e+01	5.267827e+01
3.800000e+00	4.000000e+00	3.600000e+02	4.242641e+01	4.242641e+01
4.000000e+00	4.200000e+00	3.000000e+02	3.872983e+01	3.872983e+01
4.200000e+00	4.400000e+00	3.050000e+02	3.905125e+01	3.905125e+01
4.400000e+00	4.600000e+00	2.150000e+02	3.278719e+01	3.278719e+01
4.600000e+00	4.800000e+00	2.150000e+02	3.278719e+01	3.278719e+01
4.800000e+00	5.000000e+00	1.900000e+02	3.082207e+01	3.082207e+01
5.000000e+00	5.200000e+00	1.250000e+02	2.500000e+01	2.500000e+01
5.200000e+00	5.400000e+00	1.200000e+02	2.449490e+01	2.449490e+01
5.400000e+00	5.600000e+00	9.500000e+01	2.179449e+01	2.179449e+01
5.600000e+00	5.800000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.800000e+00	6.000000e+00	4.500000e+01	1.500000e+01	1.500000e+01
6.000000e+00	6.200000e+00	6.500000e+01	1.802776e+01	1.802776e+01
6.200000e+00	6.400000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.400000e+00	6.600000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.600000e+00	6.800000e+00	3.000000e+01	1.224745e+01	1.224745e+01
6.800000e+00	7.000000e+00	2.000000e+01	1.000000e+01	1.000000e+01
7.000000e+00	7.200000e+00	5.000000e+01	1.581139e+01	1.581139e+01
7.200000e+00	7.400000e+00	3.000000e+01	1.224745e+01	1.224745e+01
7.400000e+00	7.600000e+00	3.000000e+01	1.224745e+01	1.224745e+01
7.600000e+00	7.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.800000e+00	8.000000e+00	1.500000e+01	8.660254e+00	8.660254e+00
8.000000e+00	8.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
8.200000e+00	8.400000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.400000e+00	8.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.000000e+00	9.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.200000e+00	9.400000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.400000e+00	9.600000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.600000e+00	9.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

