# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.445412e+07	1.700242e+04	1.700242e+04
5.000000e-02	1.000000e-01	1.417780e+06	5.324998e+03	5.324998e+03
1.000000e-01	1.500000e-01	8.165000e+05	4.041039e+03	4.041039e+03
1.500000e-01	2.000000e-01	5.283600e+05	3.250723e+03	3.250723e+03
2.000000e-01	2.500000e-01	3.780600e+05	2.749764e+03	2.749764e+03
2.500000e-01	3.000000e-01	2.809400e+05	2.370401e+03	2.370401e+03
3.000000e-01	3.500000e-01	2.212600e+05	2.103616e+03	2.103616e+03
3.500000e-01	4.000000e-01	1.819000e+05	1.907354e+03	1.907354e+03
4.000000e-01	4.500000e-01	1.482400e+05	1.721859e+03	1.721859e+03
4.500000e-01	5.000000e-01	1.239600e+05	1.574548e+03	1.574548e+03
5.000000e-01	5.500000e-01	1.043200e+05	1.444438e+03	1.444438e+03
5.500000e-01	6.000000e-01	8.844000e+04	1.329962e+03	1.329962e+03
6.000000e-01	6.500000e-01	7.452000e+04	1.220819e+03	1.220819e+03
6.500000e-01	7.000000e-01	6.794000e+04	1.165676e+03	1.165676e+03
7.000000e-01	7.500000e-01	5.806000e+04	1.077590e+03	1.077590e+03
7.500000e-01	8.000000e-01	5.114000e+04	1.011336e+03	1.011336e+03
8.000000e-01	8.500000e-01	4.386000e+04	9.365896e+02	9.365896e+02
8.500000e-01	9.000000e-01	3.866000e+04	8.793179e+02	8.793179e+02
9.000000e-01	9.500000e-01	3.314000e+04	8.141253e+02	8.141253e+02
9.500000e-01	1.000000e+00	3.058000e+04	7.820486e+02	7.820486e+02
1.000000e+00	1.050000e+00	2.634000e+04	7.258099e+02	7.258099e+02
1.050000e+00	1.100000e+00	2.432000e+04	6.974238e+02	6.974238e+02
1.100000e+00	1.150000e+00	2.272000e+04	6.740920e+02	6.740920e+02
1.150000e+00	1.200000e+00	1.958000e+04	6.257795e+02	6.257795e+02
1.200000e+00	1.250000e+00	1.880000e+04	6.131884e+02	6.131884e+02
1.250000e+00	1.300000e+00	1.666000e+04	5.772348e+02	5.772348e+02
1.300000e+00	1.350000e+00	1.540000e+04	5.549775e+02	5.549775e+02
1.350000e+00	1.400000e+00	1.334000e+04	5.165269e+02	5.165269e+02
1.400000e+00	1.450000e+00	1.314000e+04	5.126402e+02	5.126402e+02
1.450000e+00	1.500000e+00	1.250000e+04	5.000000e+02	5.000000e+02
1.500000e+00	1.550000e+00	1.094000e+04	4.677606e+02	4.677606e+02
1.550000e+00	1.600000e+00	1.028000e+04	4.534314e+02	4.534314e+02
1.600000e+00	1.650000e+00	8.980000e+03	4.237924e+02	4.237924e+02
1.650000e+00	1.700000e+00	8.620000e+03	4.152108e+02	4.152108e+02
1.700000e+00	1.750000e+00	8.200000e+03	4.049691e+02	4.049691e+02
1.750000e+00	1.800000e+00	7.940000e+03	3.984972e+02	3.984972e+02
1.800000e+00	1.850000e+00	7.640000e+03	3.908964e+02	3.908964e+02
1.850000e+00	1.900000e+00	6.260000e+03	3.538361e+02	3.538361e+02
1.900000e+00	1.950000e+00	6.080000e+03	3.487119e+02	3.487119e+02
1.950000e+00	2.000000e+00	6.120000e+03	3.498571e+02	3.498571e+02
2.000000e+00	2.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.650000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	2.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+00	2.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.950000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

