# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.702611e+07	1.162457e+04	1.162457e+04
2.000000e-01	4.000000e-01	7.228850e+05	1.901164e+03	1.901164e+03
4.000000e-01	6.000000e-01	2.922500e+05	1.208822e+03	1.208822e+03
6.000000e-01	8.000000e-01	1.426400e+05	8.445117e+02	8.445117e+02
8.000000e-01	1.000000e+00	7.657500e+04	6.187689e+02	6.187689e+02
1.000000e+00	1.200000e+00	4.578500e+04	4.784611e+02	4.784611e+02
1.200000e+00	1.400000e+00	2.886500e+04	3.799013e+02	3.799013e+02
1.400000e+00	1.600000e+00	1.885500e+04	3.070423e+02	3.070423e+02
1.600000e+00	1.800000e+00	1.286000e+04	2.535744e+02	2.535744e+02
1.800000e+00	2.000000e+00	9.315000e+03	2.158124e+02	2.158124e+02
2.000000e+00	2.200000e+00	6.460000e+03	1.797220e+02	1.797220e+02
2.200000e+00	2.400000e+00	4.690000e+03	1.531339e+02	1.531339e+02
2.400000e+00	2.600000e+00	3.500000e+03	1.322876e+02	1.322876e+02
2.600000e+00	2.800000e+00	2.770000e+03	1.176860e+02	1.176860e+02
2.800000e+00	3.000000e+00	2.100000e+03	1.024695e+02	1.024695e+02
3.000000e+00	3.200000e+00	1.630000e+03	9.027735e+01	9.027735e+01
3.200000e+00	3.400000e+00	1.240000e+03	7.874008e+01	7.874008e+01
3.400000e+00	3.600000e+00	9.700000e+02	6.964194e+01	6.964194e+01
3.600000e+00	3.800000e+00	7.500000e+02	6.123724e+01	6.123724e+01
3.800000e+00	4.000000e+00	7.950000e+02	6.304760e+01	6.304760e+01
4.000000e+00	4.200000e+00	5.100000e+02	5.049752e+01	5.049752e+01
4.200000e+00	4.400000e+00	4.300000e+02	4.636809e+01	4.636809e+01
4.400000e+00	4.600000e+00	3.450000e+02	4.153312e+01	4.153312e+01
4.600000e+00	4.800000e+00	3.700000e+02	4.301163e+01	4.301163e+01
4.800000e+00	5.000000e+00	2.450000e+02	3.500000e+01	3.500000e+01
5.000000e+00	5.200000e+00	2.100000e+02	3.240370e+01	3.240370e+01
5.200000e+00	5.400000e+00	1.500000e+02	2.738613e+01	2.738613e+01
5.400000e+00	5.600000e+00	1.500000e+02	2.738613e+01	2.738613e+01
5.600000e+00	5.800000e+00	1.050000e+02	2.291288e+01	2.291288e+01
5.800000e+00	6.000000e+00	9.500000e+01	2.179449e+01	2.179449e+01
6.000000e+00	6.200000e+00	9.500000e+01	2.179449e+01	2.179449e+01
6.200000e+00	6.400000e+00	8.500000e+01	2.061553e+01	2.061553e+01
6.400000e+00	6.600000e+00	6.500000e+01	1.802776e+01	1.802776e+01
6.600000e+00	6.800000e+00	4.000000e+01	1.414214e+01	1.414214e+01
6.800000e+00	7.000000e+00	6.500000e+01	1.802776e+01	1.802776e+01
7.000000e+00	7.200000e+00	4.000000e+01	1.414214e+01	1.414214e+01
7.200000e+00	7.400000e+00	3.500000e+01	1.322876e+01	1.322876e+01
7.400000e+00	7.600000e+00	4.500000e+01	1.500000e+01	1.500000e+01
7.600000e+00	7.800000e+00	2.000000e+01	1.000000e+01	1.000000e+01
7.800000e+00	8.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
8.000000e+00	8.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
8.200000e+00	8.400000e+00	2.000000e+01	1.000000e+01	1.000000e+01
8.400000e+00	8.600000e+00	1.000000e+01	7.071068e+00	7.071068e+00
8.600000e+00	8.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.800000e+00	9.000000e+00	2.000000e+01	1.000000e+01	1.000000e+01
9.000000e+00	9.200000e+00	2.000000e+01	1.000000e+01	1.000000e+01
9.200000e+00	9.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.400000e+00	9.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
9.600000e+00	9.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.800000e+00	1.000000e+01	5.000000e+00	5.000000e+00	5.000000e+00
# END HISTOGRAM

