# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.584290e+06	4.787635e+03	4.787635e+03
2.000000e-01	4.000000e-01	1.483350e+05	8.612056e+02	8.612056e+02
4.000000e-01	6.000000e-01	5.330500e+04	5.162606e+02	5.162606e+02
6.000000e-01	8.000000e-01	2.588500e+04	3.597569e+02	3.597569e+02
8.000000e-01	1.000000e+00	1.398500e+04	2.644334e+02	2.644334e+02
1.000000e+00	1.200000e+00	8.415000e+03	2.051219e+02	2.051219e+02
1.200000e+00	1.400000e+00	5.135000e+03	1.602342e+02	1.602342e+02
1.400000e+00	1.600000e+00	3.305000e+03	1.285496e+02	1.285496e+02
1.600000e+00	1.800000e+00	2.085000e+03	1.021029e+02	1.021029e+02
1.800000e+00	2.000000e+00	1.640000e+03	9.055385e+01	9.055385e+01
2.000000e+00	2.200000e+00	1.095000e+03	7.399324e+01	7.399324e+01
2.200000e+00	2.400000e+00	7.950000e+02	6.304760e+01	6.304760e+01
2.400000e+00	2.600000e+00	6.700000e+02	5.787918e+01	5.787918e+01
2.600000e+00	2.800000e+00	5.250000e+02	5.123475e+01	5.123475e+01
2.800000e+00	3.000000e+00	4.000000e+02	4.472136e+01	4.472136e+01
3.000000e+00	3.200000e+00	3.150000e+02	3.968627e+01	3.968627e+01
3.200000e+00	3.400000e+00	2.300000e+02	3.391165e+01	3.391165e+01
3.400000e+00	3.600000e+00	1.950000e+02	3.122499e+01	3.122499e+01
3.600000e+00	3.800000e+00	1.800000e+02	3.000000e+01	3.000000e+01
3.800000e+00	4.000000e+00	1.050000e+02	2.291288e+01	2.291288e+01
4.000000e+00	4.200000e+00	8.000000e+01	2.000000e+01	2.000000e+01
4.200000e+00	4.400000e+00	8.500000e+01	2.061553e+01	2.061553e+01
4.400000e+00	4.600000e+00	4.000000e+01	1.414214e+01	1.414214e+01
4.600000e+00	4.800000e+00	8.000000e+01	2.000000e+01	2.000000e+01
4.800000e+00	5.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.000000e+00	5.200000e+00	4.000000e+01	1.414214e+01	1.414214e+01
5.200000e+00	5.400000e+00	3.500000e+01	1.322876e+01	1.322876e+01
5.400000e+00	5.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
5.600000e+00	5.800000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.800000e+00	6.000000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.000000e+00	6.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.200000e+00	6.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.400000e+00	6.600000e+00	2.000000e+01	1.000000e+01	1.000000e+01
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.200000e+00	8.400000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

