# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.684385e+05	3.663595e+02	3.663595e+02
2.000000e+00	4.000000e+00	6.367000e+04	1.784237e+02	1.784237e+02
4.000000e+00	6.000000e+00	4.440100e+04	1.489983e+02	1.489983e+02
6.000000e+00	8.000000e+00	3.181500e+04	1.261249e+02	1.261249e+02
8.000000e+00	1.000000e+01	2.367800e+04	1.088072e+02	1.088072e+02
1.000000e+01	1.200000e+01	1.790750e+04	9.462426e+01	9.462426e+01
1.200000e+01	1.400000e+01	1.389700e+04	8.335766e+01	8.335766e+01
1.400000e+01	1.600000e+01	1.089050e+04	7.379194e+01	7.379194e+01
1.600000e+01	1.800000e+01	8.762500e+03	6.619101e+01	6.619101e+01
1.800000e+01	2.000000e+01	6.972500e+03	5.904447e+01	5.904447e+01
2.000000e+01	2.200000e+01	5.764500e+03	5.368659e+01	5.368659e+01
2.200000e+01	2.400000e+01	4.858500e+03	4.928742e+01	4.928742e+01
2.400000e+01	2.600000e+01	3.996500e+03	4.470179e+01	4.470179e+01
2.600000e+01	2.800000e+01	3.387000e+03	4.115216e+01	4.115216e+01
2.800000e+01	3.000000e+01	2.802500e+03	3.743327e+01	3.743327e+01
3.000000e+01	3.200000e+01	2.425500e+03	3.482456e+01	3.482456e+01
3.200000e+01	3.400000e+01	2.110500e+03	3.248461e+01	3.248461e+01
3.400000e+01	3.600000e+01	1.785000e+03	2.987474e+01	2.987474e+01
3.600000e+01	3.800000e+01	1.568000e+03	2.800000e+01	2.800000e+01
3.800000e+01	4.000000e+01	1.440000e+03	2.683282e+01	2.683282e+01
4.000000e+01	4.200000e+01	1.210000e+03	2.459675e+01	2.459675e+01
4.200000e+01	4.400000e+01	1.073000e+03	2.316247e+01	2.316247e+01
4.400000e+01	4.600000e+01	9.820000e+02	2.215852e+01	2.215852e+01
4.600000e+01	4.800000e+01	8.630000e+02	2.077258e+01	2.077258e+01
4.800000e+01	5.000000e+01	7.925000e+02	1.990603e+01	1.990603e+01
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

