# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	1.865000e+03	9.656604e+01	9.656604e+01
-2.800000e+00	-2.600000e+00	2.735000e+03	1.169402e+02	1.169402e+02
-2.600000e+00	-2.400000e+00	3.955000e+03	1.406236e+02	1.406236e+02
-2.400000e+00	-2.200000e+00	6.175000e+03	1.757128e+02	1.757128e+02
-2.200000e+00	-2.000000e+00	1.274000e+04	2.523886e+02	2.523886e+02
-2.000000e+00	-1.800000e+00	2.279000e+04	3.375648e+02	3.375648e+02
-1.800000e+00	-1.600000e+00	2.966000e+04	3.850974e+02	3.850974e+02
-1.600000e+00	-1.400000e+00	3.802500e+04	4.360333e+02	4.360333e+02
-1.400000e+00	-1.200000e+00	4.856000e+04	4.927474e+02	4.927474e+02
-1.200000e+00	-1.000000e+00	6.703500e+04	5.789430e+02	5.789430e+02
-1.000000e+00	-8.000000e-01	9.385500e+04	6.850365e+02	6.850365e+02
-8.000000e-01	-6.000000e-01	1.472000e+05	8.579044e+02	8.579044e+02
-6.000000e-01	-4.000000e-01	2.130250e+05	1.032049e+03	1.032049e+03
-4.000000e-01	-2.000000e-01	3.333050e+05	1.290940e+03	1.290940e+03
-2.000000e-01	3.885781e-16	2.298446e+07	1.072018e+04	1.072018e+04
3.885781e-16	2.000000e-01	2.463920e+06	3.509929e+03	3.509929e+03
2.000000e-01	4.000000e-01	8.062150e+05	2.007754e+03	2.007754e+03
4.000000e-01	6.000000e-01	4.312550e+05	1.468426e+03	1.468426e+03
6.000000e-01	8.000000e-01	2.567800e+05	1.133093e+03	1.133093e+03
8.000000e-01	1.000000e+00	1.490550e+05	8.632931e+02	8.632931e+02
1.000000e+00	1.200000e+00	9.513500e+04	6.896920e+02	6.896920e+02
1.200000e+00	1.400000e+00	6.318000e+04	5.620498e+02	5.620498e+02
1.400000e+00	1.600000e+00	4.321000e+04	4.648118e+02	4.648118e+02
1.600000e+00	1.800000e+00	3.024000e+04	3.888444e+02	3.888444e+02
1.800000e+00	2.000000e+00	2.204500e+04	3.320015e+02	3.320015e+02
2.000000e+00	2.200000e+00	1.160500e+04	2.408838e+02	2.408838e+02
2.200000e+00	2.400000e+00	5.880000e+03	1.714643e+02	1.714643e+02
2.400000e+00	2.600000e+00	4.025000e+03	1.418626e+02	1.418626e+02
2.600000e+00	2.800000e+00	2.390000e+03	1.093161e+02	1.093161e+02
2.800000e+00	3.000000e+00	1.660000e+03	9.110434e+01	9.110434e+01
3.000000e+00	3.200000e+00	1.205000e+03	7.762087e+01	7.762087e+01
3.200000e+00	3.400000e+00	9.950000e+02	7.053368e+01	7.053368e+01
3.400000e+00	3.600000e+00	7.650000e+02	6.184658e+01	6.184658e+01
3.600000e+00	3.800000e+00	4.750000e+02	4.873397e+01	4.873397e+01
3.800000e+00	4.000000e+00	3.850000e+02	4.387482e+01	4.387482e+01
4.000000e+00	4.200000e+00	3.200000e+02	4.000000e+01	4.000000e+01
4.200000e+00	4.400000e+00	2.750000e+02	3.708099e+01	3.708099e+01
4.400000e+00	4.600000e+00	2.550000e+02	3.570714e+01	3.570714e+01
4.600000e+00	4.800000e+00	2.250000e+02	3.354102e+01	3.354102e+01
4.800000e+00	5.000000e+00	2.000000e+02	3.162278e+01	3.162278e+01
5.000000e+00	5.200000e+00	8.000000e+01	2.000000e+01	2.000000e+01
5.200000e+00	5.400000e+00	1.450000e+02	2.692582e+01	2.692582e+01
5.400000e+00	5.600000e+00	8.000000e+01	2.000000e+01	2.000000e+01
5.600000e+00	5.800000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.800000e+00	6.000000e+00	6.500000e+01	1.802776e+01	1.802776e+01
6.000000e+00	6.200000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.200000e+00	6.400000e+00	7.000000e+01	1.870829e+01	1.870829e+01
6.400000e+00	6.600000e+00	4.500000e+01	1.500000e+01	1.500000e+01
6.600000e+00	6.800000e+00	4.500000e+01	1.500000e+01	1.500000e+01
6.800000e+00	7.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
# END HISTOGRAM

