# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	2.666687e+05	2.981435e+02	2.981435e+02
3.000000e+00	6.000000e+00	2.570000e+04	9.255629e+01	9.255629e+01
6.000000e+00	9.000000e+00	1.204367e+04	6.336052e+01	6.336052e+01
9.000000e+00	1.200000e+01	6.708000e+03	4.728636e+01	4.728636e+01
1.200000e+01	1.500000e+01	4.042333e+03	3.670755e+01	3.670755e+01
1.500000e+01	1.800000e+01	2.623000e+03	2.956913e+01	2.956913e+01
1.800000e+01	2.100000e+01	1.835667e+03	2.473639e+01	2.473639e+01
2.100000e+01	2.400000e+01	1.171333e+03	1.975967e+01	1.975967e+01
2.400000e+01	2.700000e+01	8.193333e+02	1.652607e+01	1.652607e+01
2.700000e+01	3.000000e+01	5.333333e+02	1.333333e+01	1.333333e+01
3.000000e+01	3.300000e+01	3.720000e+02	1.113553e+01	1.113553e+01
3.300000e+01	3.600000e+01	2.653333e+02	9.404491e+00	9.404491e+00
3.600000e+01	3.900000e+01	2.006667e+02	8.178563e+00	8.178563e+00
3.900000e+01	4.200000e+01	1.390000e+02	6.806859e+00	6.806859e+00
4.200000e+01	4.500000e+01	9.800000e+01	5.715476e+00	5.715476e+00
4.500000e+01	4.800000e+01	5.566667e+01	4.307616e+00	4.307616e+00
4.800000e+01	5.100000e+01	4.433333e+01	3.844188e+00	3.844188e+00
5.100000e+01	5.400000e+01	2.366667e+01	2.808717e+00	2.808717e+00
5.400000e+01	5.700000e+01	1.833333e+01	2.472066e+00	2.472066e+00
5.700000e+01	6.000000e+01	1.333333e+01	2.108185e+00	2.108185e+00
6.000000e+01	6.300000e+01	1.233333e+01	2.027588e+00	2.027588e+00
6.300000e+01	6.600000e+01	8.000000e+00	1.632993e+00	1.632993e+00
6.600000e+01	6.900000e+01	5.000000e+00	1.290994e+00	1.290994e+00
6.900000e+01	7.200000e+01	3.000000e+00	1.000000e+00	1.000000e+00
7.200000e+01	7.500000e+01	2.666667e+00	9.428090e-01	9.428090e-01
7.500000e+01	7.800000e+01	3.666667e+00	1.105542e+00	1.105542e+00
7.800000e+01	8.100000e+01	2.000000e+00	8.164966e-01	8.164966e-01
8.100000e+01	8.400000e+01	2.666667e+00	9.428090e-01	9.428090e-01
8.400000e+01	8.700000e+01	2.666667e+00	9.428090e-01	9.428090e-01
8.700000e+01	9.000000e+01	1.333333e+00	6.666667e-01	6.666667e-01
9.000000e+01	9.300000e+01	1.333333e+00	6.666667e-01	6.666667e-01
9.300000e+01	9.600000e+01	1.000000e+00	5.773503e-01	5.773503e-01
9.600000e+01	9.900000e+01	6.666667e-01	4.714045e-01	4.714045e-01
9.900000e+01	1.020000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.020000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.110000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.110000e+02	1.140000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.140000e+02	1.170000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.170000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.230000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.230000e+02	1.260000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.260000e+02	1.290000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.350000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.350000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.440000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.440000e+02	1.470000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.470000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

