# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	9.849690e+05	9.924560e+02	9.924560e+02
5.000000e-01	1.500000e+00	2.084410e+05	4.565534e+02	4.565534e+02
1.500000e+00	2.500000e+00	9.427800e+04	3.070472e+02	3.070472e+02
2.500000e+00	3.500000e+00	1.099300e+04	1.048475e+02	1.048475e+02
3.500000e+00	4.500000e+00	2.024000e+03	4.498889e+01	4.498889e+01
4.500000e+00	5.500000e+00	1.410000e+02	1.187434e+01	1.187434e+01
5.500000e+00	6.500000e+00	1.100000e+01	3.316625e+00	3.316625e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

