# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/P_NSecVertex_BottomJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	7.538100e+04	2.745560e+02	2.745560e+02
5.000000e-01	1.500000e+00	8.353900e+04	2.890311e+02	2.890311e+02
1.500000e+00	2.500000e+00	7.511400e+04	2.740693e+02	2.740693e+02
2.500000e+00	3.500000e+00	1.037500e+04	1.018577e+02	1.018577e+02
3.500000e+00	4.500000e+00	2.003000e+03	4.475489e+01	4.475489e+01
4.500000e+00	5.500000e+00	1.410000e+02	1.187434e+01	1.187434e+01
5.500000e+00	6.500000e+00	1.100000e+01	3.316625e+00	3.316625e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

